ccnum,charname,survived,website,Verified twitter
1100000,Age Concern Budleigh Salterton,1,.,ageconcernbud
1100000,Arts for All,1,http://www.artsforall.co.uk,artsforall_uk
1100000,Birthlink,1,http://www.birthlinkuk.org,birthlinkuk
1100000,Corbridge Youth Initiative,0,.,corbridgeyouthy
208155,Aston - Mansfield Charitable Trust,1,.,a_mcomms
1100000,Lighthouse Learning Limited,0,.,edulighthouse
505113,Cor Meibion Llanelli-Llanelli Male Choir,1,http://www.llanellimalechoir.co.uk,corllanelli
803052,The Geffrye Museum Trust,1,http://www.geffrye-museum.org.uk,geffrye
247257,Practical Action,1,http://www.practicalaction.org,practicalaction
312819,The Royal Academy of Dramatic Art,1,http://www.rada.ac.uk,rada_london
211235,Enham,1,http://www.enhamtrust.org.uk,enhamtrust
249748,Brighton Dome and Festival Ltd,1,http://www.brightondome.org,brightdome
800329,Special Olympics Great Britain,1,http://www.specialolympicsgb.org.uk,sogreatbritain
502421,Coventry Cyrenians Limited,1,http://www.coventrycyrenians.co.uk,thecyrenians
800797,The Disabilities Trust,1,http://www.thedtgroup.org,thedtgroup
217652,Sherburn House Charity,1,http://www.sherburnhouse.org,sherburnhouse1
219432,Samaritans,1,http://www.samaritans.org,samaritans
286967,The Health Foundation,1,http://www.health.org.uk,healthfdn
225874,Christadelphian Care Homes,1,http://www.cch-uk.com,cacagedcare
1100000,Worcester Students' Union,1,http://www.worcscu.com,worcestersu
519996,Community Integrated Care,1,http://www.c-i-c.co.uk,comintcare
242560,The Leicester and Leicestershire Animal Aid Association,1,http://www.leicesteranimalaid.org.uk,leicsanimalaid
1100000,The Avenues Trust Group,1,http://www.avenuesgroup.org.uk,avenuesgroup
301576,Minchinhampton Youth Club,1,http://www.minchyouthclub.com,minchyouthclub
225910,JNF Charitable Trust,1,http://www.jnf.co.uk,jnfuk
288527,The Terrence Higgins Trust,1,http://www.tht.org.uk,thtorguk
1100000,New Philanthropy Capital,1,http://www.thinknpc.org,npcthinks
1100000,Lincolnshire Integrated Voluntary Emergency Service,1,http://www.lives.org.uk,liveshq
274397,The Lace Guild,1,http://www.laceguild.org,thelaceguild
278900,Westminster Synagogue Memorial Scrolls Trust,1,http://www.memorialscrollstrust.org,memorialscrolls
292643,Bath Cancer Unit Support Group,1,http://www.bcusg.org,bcusg
1100000,Poplar Housing and Regeneration Community Association Limited,0,.,poplarharca
700520,Sheffield City Trust,1,http://www.sheffieldcitytrust.org.uk,sheffcityhall
295981,National Childminding Association,1,http://www.pacey.org.uk,paceychildcare
292807,Buckingham Old Gaol Trust,1,http://www.buckinghamoldgaol.org.uk,more_buckingham
1100000,Royal Devon and Exeter NHS Foundation Trust General Charity,1,http://www.rdehospital.nhs.uk,rdehospitals
1100000,Radlett & Bushey Reform Synagogue,0,.,rbrsynagogue
1100000,HCT Group,1,http://www.hctgroup.org,hctlearning
210558,Blackfriars Settlement,1,http://www.blackfriars-settlement.org.uk,blackfriarssett
1100000,Fylde Coast YMCA,1,http://www.fyldecoastymca.org,fcymca
1100000,The Asfari Foundation,1,http://www.asfarifoundation.org.uk,asfarifound
