,Has Twitter,Number of tweets in total,Twitter Handle,Twitter followers,Twitter following
1120971,0,,,,
518177,0,,,,
525754,0,,,,
1127919,0,,,,
1134625,0,,,,
1137321,1,1114,WesleysChapel,420,117
200051,1,3735,esmeefairbairn,18811,996
200456,1,16091,epsom_sthelier,9142,772
201105,0,,,,
200069,1,1632,RPLC1786,487,804
200520,0,,,,
200431,0,,,,
201321,0,,,,
200536,0,,,,
201256,0,,,,
201375,0,,,,
201911,1,486,ChilternNTC,873,989
202191,0,,,,
201476,0,,,,
204340,0,,,,
205798,0,,,,
202110,0,,,,
202210,0,,,,
203142,0,,,,
203774,0,,,,
203429,0,,,,
204817,0,,,,
204828,0,,,,
205959,0,,,,
206529,0,,,,
206958,1,,CCHFKidsCharity,,
207405,0,,,,
207516,1,2972,questorstheatre,2166,496
204453,0,,,,
207956,0,,,,
208222,1,7764,RMetS,8954,3262
212979,0,,,,
204963,0,,,,
204998,0,,,,
205126,0,,,,
205220,0,,,,
205366,0,,,,
212073,1,7440,WYFreemasons,1045,1659
205629,1,9155,trustforlondon,16010,13274
212565,0,,,,
205769,0,,,,
205858,1,3034,Bristol_ARC,2440,1232
205907,1,4850,rhnuk,10353,2621
205943,0,,,,
205992,0,,,,
206123,1,2738,Royalcom1851,1529,686
206308,0,,,,
206219,1,18311,RoySocMed,17839,811
206740,0,,,,
214348,0,,,,
214702,0,,,,
216538,0,,,,
220744,0,,,,
206451,0,,,,
221040,0,,,,
221797,0,,,,
207184,1,17565,iom3,6784,1271
206524,0,,,,
226278,1,530,BelmontAbbeyUK,648,65
206602,0,,,,
207557,0,,,,
227044,0,,,,
206601,1,3645,nuffieldfound,7984,1996
227620,0,,,,
206621,1,48,CharitiesInfo,57,21
206658,1,8873,HorseCharity,36536,1935
206926,0,,,,
206780,0,,,,
206504,0,,,,
206882,1,4640,imeche,37151,299
229051,0,,,,
206883,1,12480,SCIupdate,2859,1712
210057,0,,,,
209414,1,809,HospFriends,394,487
207734,1,63,TimbertradesBS,235,267
209930,0,,,,
208530,1,9,AispaInfo,25,39
206925,0,,,,
207164,0,,,,
210408,0,,,,
232042,0,,,,
232254,0,,,,
207238,1,29105,wildlifetrusts,149151,1101
211025,1,1152,pembroke1885,942,459
207497,0,,,,
232467,0,,,,
211855,0,,,,
233137,0,,,,
212214,0,,,,
208215,1,1472,journocharity,2676,3110
233603,1,3399,sacrewell,2943,1167
207499,1,1096,@CripplegateFdn,1336,1275
207711,1,11173,VersusArthritis,24485,1563
234787,0,,,,
235708,0,,,,
212336,0,,,,
207316,1,3967,nghhammerson,654,500
235979,0,,,,
208607,1,179,Fostering_CFT,129,33
236962,0,,,,
216830,0,,,,
208925,1,1920,ietconnect,558,556
237191,0,,,,
208882,1,6146,printingcharity,2519,455
238671,0,,,,
221407,0,,,,
208858,1,8468,rabicharity ,8496,2602
208443,1,1953,HacEvents ,3394,1040
245517,0,,,,
209169,1,15908,nuffieldtrust,44917,3743
246255,0,,,,
208791,1,5537,rgs_ibg,40701,194
213168,1,8401,bankofengland,256529,1493
213578,0,,,,
246967,0,,,,
248747,0,,,,
250186,1,13810,DioceseinEurope,1412,158
250788,0,,,,
209015,0,,,,
209078,1,3,bhamjcc,9,12
214753,0,,,,
209131,1,15534,britishcouncil,245721,259
251087,0,,,,
212536,0,,,,
216605,0,,,,
250919,0,,,,
209230,0,,,,
209425,1,8283,BIICL,3438,1034
251342,0,,,,
209631,1,62611,CR_UK,323463,2871
219102,0,,,,
209261,0,,,,
251535,0,,,,
219947,1,3438,towertheatre,2760,2843
251588,1,7607,CrimeandJustice,12548,317
252594,1,5003,MGAnimalRescue,2020,1108
209777,1,1385,LeoBaeckCollege,1427,1956
220480,0,,,,
264673,1,2703,KMTheatre,1940,1511
254335,0,,,,
209706,1,5807,T_I_H_R,4493,1247
254781,1,347,theict,954,1269
209259,1,9741,VarietyGB,6147,918
209642,1,5007,ahtofficial,9604,1073
209691,1,450,BFHU1925,111,245
209961,0,,,,
220019,0,,,,
257238,1,163,nicky_alliance,127,181
220114,0,,,,
259586,1,1161,Nationalfruit,1891,933
258253,0,,,,
263690,1,2307,FishOnFridayUK,1318,463
226222,1,1773,royalarchinst,1169,481
210037,1,455,jrctinfo,1089,124
268328,1,544,gpprepschool,160,170
210291,0,,,,
266160,0,,,,
249198,0,,,,
267278,0,,,,
210183,1,22182,wellcometrust,135066,1875
220594,0,,,,
210252,1,13556,ice_engineers,48532,2728
297178,0,,,,
511127,1,619,ANCLeics,232,76
210310,0,,,,
210504,1,5331,britishhorse,38422,455
300725,0,,,,
268555,1,1405,SOMNews,1261,544
210667,1,4375,StChrisHospice,4616,1821
210729,0,,,,
306583,1,337,Roselyon_School,91,57
211861,0,,,,
516506,0,,,,
222595,1,8837,ACCANews,89831,1719
267026,1,3544,ioauk,2765,353
217307,0,,,,
211014,0,,,,
268396,1,268,bsshand,1061,439
212992,1,6711,imarest,12523,1441
268547,1,11578,@the_ilp,3634,2058
802567,0,,,,
269003,0,,,,
276821,1,855,CLCGB,263,86
244075,0,,,,
236153,1,1480,Medina_Valley,283,426
254192,0,,,,
269442,0,,,,
223132,0,,,,
211161,1,342,RoyInstNavArch,1324,109
216613,1,2320,worcuninews,1216,241
270046,0,,,,
211415,0,,,,
211200,0,,,,
211756,0,,,,
270987,0,,,,
229545,0,,,,
211540,1,3169,rcradiologists,12047,1300
271765,1,1167,EnglishConcert,7395,308
272565,1,1212,esbuk,1314,1353
216066,1,1781,MagsAssoc,2915,185
211659,0,,,,
219055,1,6143,LifewordsUK,1307,693
211775,1,35425,royaloperahouse,186839,1248
274681,1,6810,TweetIGA,6266,355
268989,1,4288,BelmasOffice,2334,871
231508,1,5700,EJ_RES,6634,1
232478,0,,,,
231574,0,,,,
